,time,day,year,layer,phi_sn,phi_at,phi_ws,phi_e,T_w_t_1,H_t_1,phi_c,phi_net,H_t,T_w_t
"1",0,16,2017,1,0,1066.10274104237,2432.88006421836,18.257750679304,58.6257617571682,123940.127668295,183.289730137618,-1568.3248039929,122371.802864302,57.8839177874508
"1",3,16,2017,1,0,994.429204962726,2411.19345142849,14.771944614897,57.8839177874508,122371.802864302,193.702866321878,-1625.23905740254,120746.563806899,57.1151524200894
"1",6,16,2017,1,-83.2452872064639,965.759216583576,2388.87314166481,13.5008080375311,57.1151524200894,120746.563806899,196.129586324591,-1715.98960664982,119030.574200249,56.3034605189281
"1",9,16,2017,1,3296.81023376962,1037.81274232681,2365.47506466702,16.8286900277407,56.3034605189281,119030.574200249,178.845565496489,1773.47365590518,120804.047856154,57.1423433407367
"1",12,16,2017,1,7114.66799628351,1205.66052708019,2389.65994804448,26.3541251658421,57.1423433407367,120804.047856154,152.855527381458,5751.45892277191,126555.506778926,59.8628799974761
"1",15,16,2017,1,4302.59699185049,1292.33377604039,2469.37020764603,32.2863075618931,59.8628799974761,126555.506778926,150.296528623314,2942.97772405964,129498.484502986,61.2549578834142
"1",18,16,2017,1,-166.490574412928,1230.52780704963,2510.92019893792,27.983985673032,61.2549578834142,129498.484502986,165.92894316424,-1640.79589513849,127857.688607848,60.4788338705525
"1",21,16,2017,1,0,1147.35947689132,2487.69074051012,22.7570671903328,60.4788338705525,127857.688607848,176.593795175433,-1539.68212598456,126318.006481863,59.7505383685397
"1",0,17,2017,1,0,1091.43697648684,2466.03973315474,20.7280492958739,59.7505383685397,126318.006481863,193.968262781836,-1589.29906874561,124728.707413117,58.9987732193658
"1",3,17,2017,1,0,1016.25955891796,2443.83955946683,16.6975699774069,58.9987732193658,124728.707413117,205.355822315276,-1649.63339284155,123079.074020275,58.218468921679
"1",6,17,2017,1,-80.5881926799286,972.698938473102,2420.95548658159,14.5985395956945,58.218468921679,123079.074020275,210.856272943326,-1754.29955332744,121324.774466948,57.3886557723867
"1",9,17,2017,1,3316.99845086828,1042.35996375222,2396.79619215835,18.0376979310415,57.3886557723867,121324.774466948,193.051452168479,1751.47307236262,123076.247539311,58.2171319487165
"1",12,17,2017,1,7154.86747365424,1204.04976352548,2420.91641548408,27.7652279359275,58.2171319487165,123076.247539311,166.696224007644,5743.53936975207,128819.786909063,60.9339225238819
"1",15,17,2017,1,4328.14635604055,1287.25772530353,2501.29194321828,33.7611309755976,60.9339225238819,128819.786909063,164.529483043111,2915.82152410709,131735.60843317,62.3131550711988
"1",18,17,2017,1,-161.176385359857,1227.94145121993,2542.85378459026,29.4165610931768,62.3131550711988,131735.60843317,180.613818952817,-1686.11909877617,130049.489334394,61.5155924218878
"1",21,17,2017,1,0,1147.97438534537,2518.75737963064,24.108591153148,61.5155924218878,130049.489334394,191.243088811374,-1586.13467424979,128463.354660144,60.7653240844515
"1",0,18,2017,1,0,1094.10167346276,2496.24656671717,21.9284430645018,60.7653240844515,128463.354660144,207.870829644498,-1631.94416596342,126831.410494181,59.9933870881395
"1",3,18,2017,1,0,1021.53938823938,2473.2434490261,17.8149433726022,59.9933870881395,126831.410494181,219.152106331332,-1688.67111049065,125142.73938369,59.194617294431
"1",6,18,2017,1,-77.804717486165,986.489168228195,2449.60847998653,16.0096377857907,59.194617294431,125142.73938369,222.948131029765,-1779.88179806006,123362.85758563,58.3527033137687
"1",9,18,2017,1,3322.28796226068,1055.60057199925,2424.88070021931,19.6820016937634,58.3527033137687,123362.85758563,204.474688041763,1728.85114430509,125091.708729935,59.1704789382291
"1",12,18,2017,1,7163.18051250481,1215.71263172492,2448.89689234683,29.9977882971386,59.1704789382291,125091.708729935,177.343253390702,5722.65521019505,130814.36394013,61.8773909552088
